id,text,filename
01_character_yi,一,01_character_yi.mp3
02_character_shang,上,02_character_shang.mp3
03_character_shui,水,03_character_shui.mp3
04_character_huo,火,04_character_huo.mp3
05_character_feng,风,05_character_feng.mp3
06_character_niao,鸟,06_character_niao.mp3
07_word_yige,一个,07_word_yige.mp3
08_word_yitian,一天,08_word_yitian.mp3
09_word_baiyun,白云,09_word_baiyun.mp3
10_word_shuaya,刷牙,10_word_shuaya.mp3
11_meaning_feng,风是流动的空气，看不见，却能吹动树叶和风车。,11_meaning_feng.mp3
12_sentence_yu,雨从天上落下来。,12_sentence_yu.mp3
