character_id,asset_type,asset_path,required,review_status
char_u6211,image,images/characters/char_u6211_main_v1.webp,true,DRAFT
char_u6211,character_audio,audio/characters/char_u6211_v1.mp3,true,DRAFT
char_u6211,meaning_audio,audio/meanings/meaning_char_u6211_v1.mp3,true,DRAFT
char_u6211,word_audio_1,audio/words/char_u6211_1_v1.mp3,true,DRAFT
char_u6211,word_audio_2,audio/words/char_u6211_2_v1.mp3,true,DRAFT
char_u6211,sentence_audio,audio/sentences/char_u6211_v1.mp3,true,DRAFT
char_u4f60,image,images/characters/char_u4f60_main_v1.webp,true,DRAFT
char_u4f60,character_audio,audio/characters/char_u4f60_v1.mp3,true,DRAFT
char_u4f60,meaning_audio,audio/meanings/meaning_char_u4f60_v1.mp3,true,DRAFT
char_u4f60,word_audio_1,audio/words/char_u4f60_1_v1.mp3,true,DRAFT
char_u4f60,word_audio_2,audio/words/char_u4f60_2_v1.mp3,true,DRAFT
char_u4f60,sentence_audio,audio/sentences/char_u4f60_v1.mp3,true,DRAFT
char_u4ed6,image,images/characters/char_u4ed6_main_v1.webp,true,DRAFT
char_u4ed6,character_audio,audio/characters/char_u4ed6_v1.mp3,true,DRAFT
char_u4ed6,meaning_audio,audio/meanings/meaning_char_u4ed6_v1.mp3,true,DRAFT
char_u4ed6,word_audio_1,audio/words/char_u4ed6_1_v1.mp3,true,DRAFT
char_u4ed6,word_audio_2,audio/words/char_u4ed6_2_v1.mp3,true,DRAFT
char_u4ed6,sentence_audio,audio/sentences/char_u4ed6_v1.mp3,true,DRAFT
char_u5979,image,images/characters/char_u5979_main_v1.webp,true,DRAFT
char_u5979,character_audio,audio/characters/char_u5979_v1.mp3,true,DRAFT
char_u5979,meaning_audio,audio/meanings/meaning_char_u5979_v1.mp3,true,DRAFT
char_u5979,word_audio_1,audio/words/char_u5979_1_v1.mp3,true,DRAFT
char_u5979,word_audio_2,audio/words/char_u5979_2_v1.mp3,true,DRAFT
char_u5979,sentence_audio,audio/sentences/char_u5979_v1.mp3,true,DRAFT
char_u5b83,image,images/characters/char_u5b83_main_v1.webp,true,DRAFT
char_u5b83,character_audio,audio/characters/char_u5b83_v1.mp3,true,DRAFT
char_u5b83,meaning_audio,audio/meanings/meaning_char_u5b83_v1.mp3,true,DRAFT
char_u5b83,word_audio_1,audio/words/char_u5b83_1_v1.mp3,true,DRAFT
char_u5b83,word_audio_2,audio/words/char_u5b83_2_v1.mp3,true,DRAFT
char_u5b83,sentence_audio,audio/sentences/char_u5b83_v1.mp3,true,DRAFT
char_u7231,image,images/characters/char_u7231_main_v1.webp,true,DRAFT
char_u7231,character_audio,audio/characters/char_u7231_v1.mp3,true,DRAFT
char_u7231,meaning_audio,audio/meanings/meaning_char_u7231_v1.mp3,true,DRAFT
char_u7231,word_audio_1,audio/words/char_u7231_1_v1.mp3,true,DRAFT
char_u7231,word_audio_2,audio/words/char_u7231_2_v1.mp3,true,DRAFT
char_u7231,sentence_audio,audio/sentences/char_u7231_v1.mp3,true,DRAFT
char_u53cb,image,images/characters/char_u53cb_main_v1.webp,true,DRAFT
char_u53cb,character_audio,audio/characters/char_u53cb_v1.mp3,true,DRAFT
char_u53cb,meaning_audio,audio/meanings/meaning_char_u53cb_v1.mp3,true,DRAFT
char_u53cb,word_audio_1,audio/words/char_u53cb_1_v1.mp3,true,DRAFT
char_u53cb,word_audio_2,audio/words/char_u53cb_2_v1.mp3,true,DRAFT
char_u53cb,sentence_audio,audio/sentences/char_u53cb_v1.mp3,true,DRAFT
char_u540c,image,images/characters/char_u540c_main_v1.webp,true,DRAFT
char_u540c,character_audio,audio/characters/char_u540c_v1.mp3,true,DRAFT
char_u540c,meaning_audio,audio/meanings/meaning_char_u540c_v1.mp3,true,DRAFT
char_u540c,word_audio_1,audio/words/char_u540c_1_v1.mp3,true,DRAFT
char_u540c,word_audio_2,audio/words/char_u540c_2_v1.mp3,true,DRAFT
char_u540c,sentence_audio,audio/sentences/char_u540c_v1.mp3,true,DRAFT
char_u5b66,image,images/characters/char_u5b66_main_v1.webp,true,DRAFT
char_u5b66,character_audio,audio/characters/char_u5b66_v1.mp3,true,DRAFT
char_u5b66,meaning_audio,audio/meanings/meaning_char_u5b66_v1.mp3,true,DRAFT
char_u5b66,word_audio_1,audio/words/char_u5b66_1_v1.mp3,true,DRAFT
char_u5b66,word_audio_2,audio/words/char_u5b66_2_v1.mp3,true,DRAFT
char_u5b66,sentence_audio,audio/sentences/char_u5b66_v1.mp3,true,DRAFT
char_u6821,image,images/characters/char_u6821_main_v1.webp,true,DRAFT
char_u6821,character_audio,audio/characters/char_u6821_v1.mp3,true,DRAFT
char_u6821,meaning_audio,audio/meanings/meaning_char_u6821_v1.mp3,true,DRAFT
char_u6821,word_audio_1,audio/words/char_u6821_1_v1.mp3,true,DRAFT
char_u6821,word_audio_2,audio/words/char_u6821_2_v1.mp3,true,DRAFT
char_u6821,sentence_audio,audio/sentences/char_u6821_v1.mp3,true,DRAFT
char_u5e08,image,images/characters/char_u5e08_main_v1.webp,true,DRAFT
char_u5e08,character_audio,audio/characters/char_u5e08_v1.mp3,true,DRAFT
char_u5e08,meaning_audio,audio/meanings/meaning_char_u5e08_v1.mp3,true,DRAFT
char_u5e08,word_audio_1,audio/words/char_u5e08_1_v1.mp3,true,DRAFT
char_u5e08,word_audio_2,audio/words/char_u5e08_2_v1.mp3,true,DRAFT
char_u5e08,sentence_audio,audio/sentences/char_u5e08_v1.mp3,true,DRAFT
char_u751f,image,images/characters/char_u751f_main_v1.webp,true,DRAFT
char_u751f,character_audio,audio/characters/char_u751f_v1.mp3,true,DRAFT
char_u751f,meaning_audio,audio/meanings/meaning_char_u751f_v1.mp3,true,DRAFT
char_u751f,word_audio_1,audio/words/char_u751f_1_v1.mp3,true,DRAFT
char_u751f,word_audio_2,audio/words/char_u751f_2_v1.mp3,true,DRAFT
char_u751f,sentence_audio,audio/sentences/char_u751f_v1.mp3,true,DRAFT
char_u5b57,image,images/characters/char_u5b57_main_v1.webp,true,DRAFT
char_u5b57,character_audio,audio/characters/char_u5b57_v1.mp3,true,DRAFT
char_u5b57,meaning_audio,audio/meanings/meaning_char_u5b57_v1.mp3,true,DRAFT
char_u5b57,word_audio_1,audio/words/char_u5b57_1_v1.mp3,true,DRAFT
char_u5b57,word_audio_2,audio/words/char_u5b57_2_v1.mp3,true,DRAFT
char_u5b57,sentence_audio,audio/sentences/char_u5b57_v1.mp3,true,DRAFT
char_u6587,image,images/characters/char_u6587_main_v1.webp,true,DRAFT
char_u6587,character_audio,audio/characters/char_u6587_v1.mp3,true,DRAFT
char_u6587,meaning_audio,audio/meanings/meaning_char_u6587_v1.mp3,true,DRAFT
char_u6587,word_audio_1,audio/words/char_u6587_1_v1.mp3,true,DRAFT
char_u6587,word_audio_2,audio/words/char_u6587_2_v1.mp3,true,DRAFT
char_u6587,sentence_audio,audio/sentences/char_u6587_v1.mp3,true,DRAFT
char_u753b,image,images/characters/char_u753b_main_v1.webp,true,DRAFT
char_u753b,character_audio,audio/characters/char_u753b_v1.mp3,true,DRAFT
char_u753b,meaning_audio,audio/meanings/meaning_char_u753b_v1.mp3,true,DRAFT
char_u753b,word_audio_1,audio/words/char_u753b_1_v1.mp3,true,DRAFT
char_u753b,word_audio_2,audio/words/char_u753b_2_v1.mp3,true,DRAFT
