id,text,filename
char_u7ad9_character,站,audio/characters/char_u7ad9_v1.mp3
char_u7ad9_meaning,“站”是生活中常见的字宝宝，我们在故事和游戏里会遇到它。,audio/meanings/meaning_char_u7ad9_v1.mp3
char_u7ad9_word1,站人,audio/words/char_u7ad9_1_v1.mp3
char_u7ad9_word2,站家,audio/words/char_u7ad9_2_v1.mp3
char_u7ad9_sentence,我在故事里看见“站”。,audio/sentences/char_u7ad9_v1.mp3
char_u5750_character,坐,audio/characters/char_u5750_v1.mp3
char_u5750_meaning,“坐”是生活中常见的字宝宝，我们在故事和游戏里会遇到它。,audio/meanings/meaning_char_u5750_v1.mp3
char_u5750_word1,坐人,audio/words/char_u5750_1_v1.mp3
char_u5750_word2,坐家,audio/words/char_u5750_2_v1.mp3
char_u5750_sentence,我在故事里看见“坐”。,audio/sentences/char_u5750_v1.mp3
char_u54ed_character,哭,audio/characters/char_u54ed_v1.mp3
char_u54ed_meaning,“哭”是生活中常见的字宝宝，我们在故事和游戏里会遇到它。,audio/meanings/meaning_char_u54ed_v1.mp3
char_u54ed_word1,哭人,audio/words/char_u54ed_1_v1.mp3
char_u54ed_word2,哭家,audio/words/char_u54ed_2_v1.mp3
char_u54ed_sentence,我在故事里看见“哭”。,audio/sentences/char_u54ed_v1.mp3
char_u4f4f_character,住,audio/characters/char_u4f4f_v1.mp3
char_u4f4f_meaning,“住”是生活中常见的字宝宝，我们在故事和游戏里会遇到它。,audio/meanings/meaning_char_u4f4f_v1.mp3
char_u4f4f_word1,住人,audio/words/char_u4f4f_1_v1.mp3
char_u4f4f_word2,住家,audio/words/char_u4f4f_2_v1.mp3
char_u4f4f_sentence,我在故事里看见“住”。,audio/sentences/char_u4f4f_v1.mp3
char_u73a9_character,玩,audio/characters/char_u73a9_v1.mp3
char_u73a9_meaning,“玩”是生活中常见的字宝宝，我们在故事和游戏里会遇到它。,audio/meanings/meaning_char_u73a9_v1.mp3
char_u73a9_word1,玩人,audio/words/char_u73a9_1_v1.mp3
