id,character,pinyin,tone,meaning_for_child,word_1,word_2,sentence,image_prompt,audio_required,review_status
char_u7ad9,站,zhàn,0,“站”是生活中常见的字宝宝，我们在故事和游戏里会遇到它。,站人,站家,我在故事里看见“站”。,儿童绘本风：用清楚温暖的生活场景表现“站”的意思，无文字,character meaning words sentence,DRAFT
char_u5750,坐,zuò,0,“坐”是生活中常见的字宝宝，我们在故事和游戏里会遇到它。,坐人,坐家,我在故事里看见“坐”。,儿童绘本风：用清楚温暖的生活场景表现“坐”的意思，无文字,character meaning words sentence,DRAFT
char_u54ed,哭,kū,0,“哭”是生活中常见的字宝宝，我们在故事和游戏里会遇到它。,哭人,哭家,我在故事里看见“哭”。,儿童绘本风：用清楚温暖的生活场景表现“哭”的意思，无文字,character meaning words sentence,DRAFT
char_u4f4f,住,zhù,0,“住”是生活中常见的字宝宝，我们在故事和游戏里会遇到它。,住人,住家,我在故事里看见“住”。,儿童绘本风：用清楚温暖的生活场景表现“住”的意思，无文字,character meaning words sentence,DRAFT
char_u73a9,玩,wán,0,“玩”是生活中常见的字宝宝，我们在故事和游戏里会遇到它。,玩人,玩家,我在故事里看见“玩”。,儿童绘本风：用清楚温暖的生活场景表现“玩”的意思，无文字,character meaning words sentence,DRAFT
char_u505a,做,zuò,0,“做”是生活中常见的字宝宝，我们在故事和游戏里会遇到它。,做人,做家,我在故事里看见“做”。,儿童绘本风：用清楚温暖的生活场景表现“做”的意思，无文字,character meaning words sentence,DRAFT
char_u7528,用,yòng,0,“用”是生活中常见的字宝宝，我们在故事和游戏里会遇到它。,用人,用家,我在故事里看见“用”。,儿童绘本风：用清楚温暖的生活场景表现“用”的意思，无文字,character meaning words sentence,DRAFT
char_u627e,找,zhǎo,0,“找”是生活中常见的字宝宝，我们在故事和游戏里会遇到它。,找人,找家,我在故事里看见“找”。,儿童绘本风：用清楚温暖的生活场景表现“找”的意思，无文字,character meaning words sentence,DRAFT
char_u62ff,拿,ná,0,“拿”是生活中常见的字宝宝，我们在故事和游戏里会遇到它。,拿人,拿家,我在故事里看见“拿”。,儿童绘本风：用清楚温暖的生活场景表现“拿”的意思，无文字,character meaning words sentence,DRAFT
char_u653e,放,fàng,0,“放”是生活中常见的字宝宝，我们在故事和游戏里会遇到它。,放人,放家,我在故事里看见“放”。,儿童绘本风：用清楚温暖的生活场景表现“放”的意思，无文字,character meaning words sentence,DRAFT
char_u6545,故,gù,0,“故”是生活中常见的字宝宝，我们在故事和游戏里会遇到它。,故人,故家,我在故事里看见“故”。,儿童绘本风：用清楚温暖的生活场景表现“故”的意思，无文字,character meaning words sentence,DRAFT
char_u4e8b,事,shì,0,“事”是生活中常见的字宝宝，我们在故事和游戏里会遇到它。,事人,事家,我在故事里看见“事”。,儿童绘本风：用清楚温暖的生活场景表现“事”的意思，无文字,character meaning words sentence,DRAFT
char_u670b,朋,péng,0,“朋”是生活中常见的字宝宝，我们在故事和游戏里会遇到它。,朋人,朋家,我在故事里看见“朋”。,儿童绘本风：用清楚温暖的生活场景表现“朋”的意思，无文字,character meaning words sentence,DRAFT
char_u54e5,哥,gē,0,“哥”是生活中常见的字宝宝，我们在故事和游戏里会遇到它。,哥人,哥家,我在故事里看见“哥”。,儿童绘本风：用清楚温暖的生活场景表现“哥”的意思，无文字,character meaning words sentence,DRAFT
