id,character,pinyin,tone,meaning_for_child,word_1,word_2,sentence,image_prompt,audio_required,review_status
char_u90fd,都,dōu,0,“都”是生活中常见的字宝宝，我们在故事和游戏里会遇到它。,都人,都家,我在故事里看见“都”。,儿童绘本风：用清楚温暖的生活场景表现“都”的意思，无文字,character meaning words sentence,DRAFT
char_u4e5f,也,yě,0,“也”是生活中常见的字宝宝，我们在故事和游戏里会遇到它。,也人,也家,我在故事里看见“也”。,儿童绘本风：用清楚温暖的生活场景表现“也”的意思，无文字,character meaning words sentence,DRAFT
char_u8fd8,还,hái,0,“还”是生活中常见的字宝宝，我们在故事和游戏里会遇到它。,还人,还家,我在故事里看见“还”。,儿童绘本风：用清楚温暖的生活场景表现“还”的意思，无文字,character meaning words sentence,DRAFT
char_u53c8,又,yòu,0,“又”是生活中常见的字宝宝，我们在故事和游戏里会遇到它。,又人,又家,我在故事里看见“又”。,儿童绘本风：用清楚温暖的生活场景表现“又”的意思，无文字,character meaning words sentence,DRAFT
char_u518d,再,zài,0,“再”是生活中常见的字宝宝，我们在故事和游戏里会遇到它。,再人,再家,我在故事里看见“再”。,儿童绘本风：用清楚温暖的生活场景表现“再”的意思，无文字,character meaning words sentence,DRAFT
char_u5f88,很,hěn,0,“很”是生活中常见的字宝宝，我们在故事和游戏里会遇到它。,很人,很家,我在故事里看见“很”。,儿童绘本风：用清楚温暖的生活场景表现“很”的意思，无文字,character meaning words sentence,DRAFT
char_u6700,最,zuì,0,“最”是生活中常见的字宝宝，我们在故事和游戏里会遇到它。,最人,最家,我在故事里看见“最”。,儿童绘本风：用清楚温暖的生活场景表现“最”的意思，无文字,character meaning words sentence,DRAFT
char_u771f,真,zhēn,0,“真”是生活中常见的字宝宝，我们在故事和游戏里会遇到它。,真人,真家,我在故事里看见“真”。,儿童绘本风：用清楚温暖的生活场景表现“真”的意思，无文字,character meaning words sentence,DRAFT
char_u592a,太,tài,0,“太”是生活中常见的字宝宝，我们在故事和游戏里会遇到它。,太人,太家,我在故事里看见“太”。,儿童绘本风：用清楚温暖的生活场景表现“太”的意思，无文字,character meaning words sentence,DRAFT
char_u4eca,今,jīn,0,“今”是生活中常见的字宝宝，我们在故事和游戏里会遇到它。,今人,今家,我在故事里看见“今”。,儿童绘本风：用清楚温暖的生活场景表现“今”的意思，无文字,character meaning words sentence,DRAFT
char_u660e,明,míng,0,“明”是生活中常见的字宝宝，我们在故事和游戏里会遇到它。,明人,明家,我在故事里看见“明”。,儿童绘本风：用清楚温暖的生活场景表现“明”的意思，无文字,character meaning words sentence,DRAFT
char_u5e74,年,nián,0,“年”是生活中常见的字宝宝，我们在故事和游戏里会遇到它。,年人,年家,我在故事里看见“年”。,儿童绘本风：用清楚温暖的生活场景表现“年”的意思，无文字,character meaning words sentence,DRAFT
char_u65f6,时,shí,0,“时”是生活中常见的字宝宝，我们在故事和游戏里会遇到它。,时人,时家,我在故事里看见“时”。,儿童绘本风：用清楚温暖的生活场景表现“时”的意思，无文字,character meaning words sentence,DRAFT
char_u5206,分,fēn,0,“分”是生活中常见的字宝宝，我们在故事和游戏里会遇到它。,分人,分家,我在故事里看见“分”。,儿童绘本风：用清楚温暖的生活场景表现“分”的意思，无文字,character meaning words sentence,DRAFT
char_u79d2,秒,miǎo,0,“秒”是生活中常见的字宝宝，我们在故事和游戏里会遇到它。,秒人,秒家,我在故事里看见“秒”。,儿童绘本风：用清楚温暖的生活场景表现“秒”的意思，无文字,character meaning words sentence,DRAFT
char_u5468,周,zhōu,0,“周”是生活中常见的字宝宝，我们在故事和游戏里会遇到它。,周人,周家,我在故事里看见“周”。,儿童绘本风：用清楚温暖的生活场景表现“周”的意思，无文字,character meaning words sentence,DRAFT
char_u5c81,岁,suì,0,“岁”是生活中常见的字宝宝，我们在故事和游戏里会遇到它。,岁人,岁家,我在故事里看见“岁”。,儿童绘本风：用清楚温暖的生活场景表现“岁”的意思，无文字,character meaning words sentence,DRAFT
char_u70b9,点,diǎn,0,“点”是生活中常见的字宝宝，我们在故事和游戏里会遇到它。,点人,点家,我在故事里看见“点”。,儿童绘本风：用清楚温暖的生活场景表现“点”的意思，无文字,character meaning words sentence,DRAFT
char_u6b21,次,cì,0,“次”是生活中常见的字宝宝，我们在故事和游戏里会遇到它。,次人,次家,我在故事里看见“次”。,儿童绘本风：用清楚温暖的生活场景表现“次”的意思，无文字,character meaning words sentence,DRAFT
char_u8fb9,边,biān,0,“边”是生活中常见的字宝宝，我们在故事和游戏里会遇到它。,边人,边家,我在故事里看见“边”。,儿童绘本风：用清楚温暖的生活场景表现“边”的意思，无文字,character meaning words sentence,DRAFT
char_u65b9,方,fāng,0,“方”是生活中常见的字宝宝，我们在故事和游戏里会遇到它。,方人,方家,我在故事里看见“方”。,儿童绘本风：用清楚温暖的生活场景表现“方”的意思，无文字,character meaning words sentence,DRAFT
char_u5411,向,xiàng,0,“向”是生活中常见的字宝宝，我们在故事和游戏里会遇到它。,向人,向家,我在故事里看见“向”。,儿童绘本风：用清楚温暖的生活场景表现“向”的意思，无文字,character meaning words sentence,DRAFT
char_u5185,内,nèi,0,“内”是生活中常见的字宝宝，我们在故事和游戏里会遇到它。,内人,内家,我在故事里看见“内”。,儿童绘本风：用清楚温暖的生活场景表现“内”的意思，无文字,character meaning words sentence,DRAFT
char_u5973,女,nǚ,0,“女”是生活中常见的字宝宝，我们在故事和游戏里会遇到它。,女人,女家,我在故事里看见“女”。,儿童绘本风：用清楚温暖的生活场景表现“女”的意思，无文字,character meaning words sentence,DRAFT
char_u989c,颜,yán,0,“颜”是生活中常见的字宝宝，我们在故事和游戏里会遇到它。,颜人,颜家,我在故事里看见“颜”。,儿童绘本风：用清楚温暖的生活场景表现“颜”的意思，无文字,character meaning words sentence,DRAFT
char_u8272,色,sè,0,“色”是生活中常见的字宝宝，我们在故事和游戏里会遇到它。,色人,色家,我在故事里看见“色”。,儿童绘本风：用清楚温暖的生活场景表现“色”的意思，无文字,character meaning words sentence,DRAFT
char_u5f62,形,xíng,0,“形”是生活中常见的字宝宝，我们在故事和游戏里会遇到它。,形人,形家,我在故事里看见“形”。,儿童绘本风：用清楚温暖的生活场景表现“形”的意思，无文字,character meaning words sentence,DRAFT
char_u72b6,状,zhuàng,0,“状”是生活中常见的字宝宝，我们在故事和游戏里会遇到它。,状人,状家,我在故事里看见“状”。,儿童绘本风：用清楚温暖的生活场景表现“状”的意思，无文字,character meaning words sentence,DRAFT
char_u5706,圆,yuán,0,“圆”是生活中常见的字宝宝，我们在故事和游戏里会遇到它。,圆人,圆家,我在故事里看见“圆”。,儿童绘本风：用清楚温暖的生活场景表现“圆”的意思，无文字,character meaning words sentence,DRAFT
char_u8f7b,轻,qīng,0,“轻”是生活中常见的字宝宝，我们在故事和游戏里会遇到它。,轻人,轻家,我在故事里看见“轻”。,儿童绘本风：用清楚温暖的生活场景表现“轻”的意思，无文字,character meaning words sentence,DRAFT
char_u91cd,重,zhòng,0,“重”是生活中常见的字宝宝，我们在故事和游戏里会遇到它。,重人,重家,我在故事里看见“重”。,儿童绘本风：用清楚温暖的生活场景表现“重”的意思，无文字,character meaning words sentence,DRAFT
char_u51b7,冷,lěng,0,“冷”是生活中常见的字宝宝，我们在故事和游戏里会遇到它。,冷人,冷家,我在故事里看见“冷”。,儿童绘本风：用清楚温暖的生活场景表现“冷”的意思，无文字,character meaning words sentence,DRAFT
char_u70ed,热,rè,0,“热”是生活中常见的字宝宝，我们在故事和游戏里会遇到它。,热人,热家,我在故事里看见“热”。,儿童绘本风：用清楚温暖的生活场景表现“热”的意思，无文字,character meaning words sentence,DRAFT
char_u9999,香,xiāng,0,“香”是生活中常见的字宝宝，我们在故事和游戏里会遇到它。,香人,香家,我在故事里看见“香”。,儿童绘本风：用清楚温暖的生活场景表现“香”的意思，无文字,character meaning words sentence,DRAFT
