id,character,pinyin,tone,meaning_for_child,word_1,word_2,sentence,image_prompt,audio_required,review_status
char_u6797,林,lín,0,“林”是生活中常见的字宝宝，我们在故事和游戏里会遇到它。,林人,林家,我在故事里看见“林”。,儿童绘本风：用清楚温暖的生活场景表现“林”的意思，无文字,character meaning words sentence,DRAFT
char_u539f,原,yuán,0,“原”是生活中常见的字宝宝，我们在故事和游戏里会遇到它。,原人,原家,我在故事里看见“原”。,儿童绘本风：用清楚温暖的生活场景表现“原”的意思，无文字,character meaning words sentence,DRAFT
char_u516c,公,gōng,0,“公”是生活中常见的字宝宝，我们在故事和游戏里会遇到它。,公人,公家,我在故事里看见“公”。,儿童绘本风：用清楚温暖的生活场景表现“公”的意思，无文字,character meaning words sentence,DRAFT
char_u56ed,园,yuán,0,“园”是生活中常见的字宝宝，我们在故事和游戏里会遇到它。,园人,园家,我在故事里看见“园”。,儿童绘本风：用清楚温暖的生活场景表现“园”的意思，无文字,character meaning words sentence,DRAFT
char_u9662,院,yuàn,0,“院”是生活中常见的字宝宝，我们在故事和游戏里会遇到它。,院人,院家,我在故事里看见“院”。,儿童绘本风：用清楚温暖的生活场景表现“院”的意思，无文字,character meaning words sentence,DRAFT
char_u5546,商,shāng,0,“商”是生活中常见的字宝宝，我们在故事和游戏里会遇到它。,商人,商家,我在故事里看见“商”。,儿童绘本风：用清楚温暖的生活场景表现“商”的意思，无文字,character meaning words sentence,DRAFT
char_u5e97,店,diàn,0,“店”是生活中常见的字宝宝，我们在故事和游戏里会遇到它。,店人,店家,我在故事里看见“店”。,儿童绘本风：用清楚温暖的生活场景表现“店”的意思，无文字,character meaning words sentence,DRAFT
char_u53a8,厨,chú,0,“厨”是生活中常见的字宝宝，我们在故事和游戏里会遇到它。,厨人,厨家,我在故事里看见“厨”。,儿童绘本风：用清楚温暖的生活场景表现“厨”的意思，无文字,character meaning words sentence,DRAFT
char_u5395,厕,cè,0,“厕”是生活中常见的字宝宝，我们在故事和游戏里会遇到它。,厕人,厕家,我在故事里看见“厕”。,儿童绘本风：用清楚温暖的生活场景表现“厕”的意思，无文字,character meaning words sentence,DRAFT
char_u6240,所,suǒ,0,“所”是生活中常见的字宝宝，我们在故事和游戏里会遇到它。,所人,所家,我在故事里看见“所”。,儿童绘本风：用清楚温暖的生活场景表现“所”的意思，无文字,character meaning words sentence,DRAFT
char_u95f4,间,jiān,0,“间”是生活中常见的字宝宝，我们在故事和游戏里会遇到它。,间人,间家,我在故事里看见“间”。,儿童绘本风：用清楚温暖的生活场景表现“间”的意思，无文字,character meaning words sentence,DRAFT
char_u57ce,城,chéng,0,“城”是生活中常见的字宝宝，我们在故事和游戏里会遇到它。,城人,城家,我在故事里看见“城”。,儿童绘本风：用清楚温暖的生活场景表现“城”的意思，无文字,character meaning words sentence,DRAFT
char_u5e02,市,shì,0,“市”是生活中常见的字宝宝，我们在故事和游戏里会遇到它。,市人,市家,我在故事里看见“市”。,儿童绘本风：用清楚温暖的生活场景表现“市”的意思，无文字,character meaning words sentence,DRAFT
char_u4e61,乡,xiāng,0,“乡”是生活中常见的字宝宝，我们在故事和游戏里会遇到它。,乡人,乡家,我在故事里看见“乡”。,儿童绘本风：用清楚温暖的生活场景表现“乡”的意思，无文字,character meaning words sentence,DRAFT
char_u6751,村,cūn,0,“村”是生活中常见的字宝宝，我们在故事和游戏里会遇到它。,村人,村家,我在故事里看见“村”。,儿童绘本风：用清楚温暖的生活场景表现“村”的意思，无文字,character meaning words sentence,DRAFT
char_u56fd,国,guó,0,“国”是生活中常见的字宝宝，我们在故事和游戏里会遇到它。,国人,国家,我在故事里看见“国”。,儿童绘本风：用清楚温暖的生活场景表现“国”的意思，无文字,character meaning words sentence,DRAFT
char_u4e16,世,shì,0,“世”是生活中常见的字宝宝，我们在故事和游戏里会遇到它。,世人,世家,我在故事里看见“世”。,儿童绘本风：用清楚温暖的生活场景表现“世”的意思，无文字,character meaning words sentence,DRAFT
char_u754c,界,jiè,0,“界”是生活中常见的字宝宝，我们在故事和游戏里会遇到它。,界人,界家,我在故事里看见“界”。,儿童绘本风：用清楚温暖的生活场景表现“界”的意思，无文字,character meaning words sentence,DRAFT
char_u6cb3,河,hé,0,“河”是生活中常见的字宝宝，我们在故事和游戏里会遇到它。,河人,河家,我在故事里看见“河”。,儿童绘本风：用清楚温暖的生活场景表现“河”的意思，无文字,character meaning words sentence,DRAFT
char_u6d77,海,hǎi,0,“海”是生活中常见的字宝宝，我们在故事和游戏里会遇到它。,海人,海家,我在故事里看见“海”。,儿童绘本风：用清楚温暖的生活场景表现“海”的意思，无文字,character meaning words sentence,DRAFT
char_u6e56,湖,hú,0,“湖”是生活中常见的字宝宝，我们在故事和游戏里会遇到它。,湖人,湖家,我在故事里看见“湖”。,儿童绘本风：用清楚温暖的生活场景表现“湖”的意思，无文字,character meaning words sentence,DRAFT
