question_id,character_id,question_type,correct_character,option_character_1,option_character_2,option_character_3,prompt_audio,review_status
q_char_u98de_listen,char_u98de,LISTEN_CHOOSE_CHARACTER,飞,机,路,桥,draft,DRAFT
q_char_u673a_listen,char_u673a,LISTEN_CHOOSE_CHARACTER,机,路,桥,窗,draft,DRAFT
q_char_u8def_listen,char_u8def,LISTEN_CHOOSE_CHARACTER,路,桥,窗,房,draft,DRAFT
q_char_u6865_listen,char_u6865,LISTEN_CHOOSE_CHARACTER,桥,窗,房,屋,draft,DRAFT
q_char_u7a97_listen,char_u7a97,LISTEN_CHOOSE_CHARACTER,窗,房,屋,椅,draft,DRAFT
q_char_u623f_listen,char_u623f,LISTEN_CHOOSE_CHARACTER,房,屋,椅,被,draft,DRAFT
q_char_u5c4b_listen,char_u5c4b,LISTEN_CHOOSE_CHARACTER,屋,椅,被,帽,draft,DRAFT
q_char_u6905_listen,char_u6905,LISTEN_CHOOSE_CHARACTER,椅,被,帽,鞋,draft,DRAFT
q_char_u88ab_listen,char_u88ab,LISTEN_CHOOSE_CHARACTER,被,帽,鞋,袜,draft,DRAFT
q_char_u5e3d_listen,char_u5e3d,LISTEN_CHOOSE_CHARACTER,帽,鞋,袜,包,draft,DRAFT
q_char_u978b_listen,char_u978b,LISTEN_CHOOSE_CHARACTER,鞋,袜,包,伞,draft,DRAFT
q_char_u889c_listen,char_u889c,LISTEN_CHOOSE_CHARACTER,袜,包,伞,钟,draft,DRAFT
q_char_u5305_listen,char_u5305,LISTEN_CHOOSE_CHARACTER,包,伞,钟,刀,draft,DRAFT
q_char_u4f1e_listen,char_u4f1e,LISTEN_CHOOSE_CHARACTER,伞,钟,刀,勺,draft,DRAFT
q_char_u949f_listen,char_u949f,LISTEN_CHOOSE_CHARACTER,钟,刀,勺,碗,draft,DRAFT
q_char_u5200_listen,char_u5200,LISTEN_CHOOSE_CHARACTER,刀,勺,碗,盘,draft,DRAFT
q_char_u52fa_listen,char_u52fa,LISTEN_CHOOSE_CHARACTER,勺,碗,盘,筷,draft,DRAFT
q_char_u7897_listen,char_u7897,LISTEN_CHOOSE_CHARACTER,碗,盘,筷,茶,draft,DRAFT
q_char_u76d8_listen,char_u76d8,LISTEN_CHOOSE_CHARACTER,盘,筷,茶,奶,draft,DRAFT
q_char_u7b77_listen,char_u7b77,LISTEN_CHOOSE_CHARACTER,筷,茶,奶,菜,draft,DRAFT
q_char_u8336_listen,char_u8336,LISTEN_CHOOSE_CHARACTER,茶,奶,菜,肉,draft,DRAFT
q_char_u5976_listen,char_u5976,LISTEN_CHOOSE_CHARACTER,奶,菜,肉,蛋,draft,DRAFT
q_char_u83dc_listen,char_u83dc,LISTEN_CHOOSE_CHARACTER,菜,肉,蛋,猪,draft,DRAFT
q_char_u8089_listen,char_u8089,LISTEN_CHOOSE_CHARACTER,肉,蛋,猪,鸡,draft,DRAFT
q_char_u86cb_listen,char_u86cb,LISTEN_CHOOSE_CHARACTER,蛋,猪,鸡,鸭,draft,DRAFT
q_char_u732a_listen,char_u732a,LISTEN_CHOOSE_CHARACTER,猪,鸡,鸭,鹅,draft,DRAFT
q_char_u9e21_listen,char_u9e21,LISTEN_CHOOSE_CHARACTER,鸡,鸭,鹅,熊,draft,DRAFT
q_char_u9e2d_listen,char_u9e2d,LISTEN_CHOOSE_CHARACTER,鸭,鹅,熊,虎,draft,DRAFT
q_char_u9e45_listen,char_u9e45,LISTEN_CHOOSE_CHARACTER,鹅,熊,虎,狮,draft,DRAFT
q_char_u718a_listen,char_u718a,LISTEN_CHOOSE_CHARACTER,熊,虎,狮,象,draft,DRAFT
q_char_u864e_listen,char_u864e,LISTEN_CHOOSE_CHARACTER,虎,狮,象,猴,draft,DRAFT
q_char_u72ee_listen,char_u72ee,LISTEN_CHOOSE_CHARACTER,狮,象,猴,鹿,draft,DRAFT
q_char_u8c61_listen,char_u8c61,LISTEN_CHOOSE_CHARACTER,象,猴,鹿,鼠,draft,DRAFT
q_char_u7334_listen,char_u7334,LISTEN_CHOOSE_CHARACTER,猴,鹿,鼠,牙,draft,DRAFT
q_char_u9e7f_listen,char_u9e7f,LISTEN_CHOOSE_CHARACTER,鹿,鼠,牙,耳,draft,DRAFT
q_char_u9f20_listen,char_u9f20,LISTEN_CHOOSE_CHARACTER,鼠,牙,耳,眼,draft,DRAFT
q_char_u7259_listen,char_u7259,LISTEN_CHOOSE_CHARACTER,牙,耳,眼,鼻,draft,DRAFT
q_char_u8033_listen,char_u8033,LISTEN_CHOOSE_CHARACTER,耳,眼,鼻,脸,draft,DRAFT
