id,text,filename
char_u4e2d_character,中,audio/characters/char_u4e2d_v1.mp3
char_u4e2d_meaning,“中”是生活中常见的字宝宝，我们在故事和游戏里会遇到它。,audio/meanings/meaning_char_u4e2d_v1.mp3
char_u4e2d_word1,中人,audio/words/char_u4e2d_1_v1.mp3
char_u4e2d_word2,中家,audio/words/char_u4e2d_2_v1.mp3
char_u4e2d_sentence,我在故事里看见“中”。,audio/sentences/char_u4e2d_v1.mp3
char_u53f3_character,右,audio/characters/char_u53f3_v1.mp3
char_u53f3_meaning,“右”是生活中常见的字宝宝，我们在故事和游戏里会遇到它。,audio/meanings/meaning_char_u53f3_v1.mp3
char_u53f3_word1,右人,audio/words/char_u53f3_1_v1.mp3
char_u53f3_word2,右家,audio/words/char_u53f3_2_v1.mp3
char_u53f3_sentence,我在故事里看见“右”。,audio/sentences/char_u53f3_v1.mp3
char_u5de6_character,左,audio/characters/char_u5de6_v1.mp3
char_u5de6_meaning,“左”是生活中常见的字宝宝，我们在故事和游戏里会遇到它。,audio/meanings/meaning_char_u5de6_v1.mp3
char_u5de6_word1,左人,audio/words/char_u5de6_1_v1.mp3
char_u5de6_word2,左家,audio/words/char_u5de6_2_v1.mp3
char_u5de6_sentence,我在故事里看见“左”。,audio/sentences/char_u5de6_v1.mp3
char_u524d_character,前,audio/characters/char_u524d_v1.mp3
char_u524d_meaning,“前”是生活中常见的字宝宝，我们在故事和游戏里会遇到它。,audio/meanings/meaning_char_u524d_v1.mp3
char_u524d_word1,前人,audio/words/char_u524d_1_v1.mp3
char_u524d_word2,前家,audio/words/char_u524d_2_v1.mp3
char_u524d_sentence,我在故事里看见“前”。,audio/sentences/char_u524d_v1.mp3
char_u540e_character,后,audio/characters/char_u540e_v1.mp3
char_u540e_meaning,“后”是生活中常见的字宝宝，我们在故事和游戏里会遇到它。,audio/meanings/meaning_char_u540e_v1.mp3
char_u540e_word1,后人,audio/words/char_u540e_1_v1.mp3
char_u540e_word2,后家,audio/words/char_u540e_2_v1.mp3
char_u540e_sentence,我在故事里看见“后”。,audio/sentences/char_u540e_v1.mp3
char_u91cc_character,里,audio/characters/char_u91cc_v1.mp3
