id,text,filename
char_u90fd_character,都,audio/characters/char_u90fd_v1.mp3
char_u90fd_meaning,“都”是生活中常见的字宝宝，我们在故事和游戏里会遇到它。,audio/meanings/meaning_char_u90fd_v1.mp3
char_u90fd_word1,都人,audio/words/char_u90fd_1_v1.mp3
char_u90fd_word2,都家,audio/words/char_u90fd_2_v1.mp3
char_u90fd_sentence,我在故事里看见“都”。,audio/sentences/char_u90fd_v1.mp3
char_u4e5f_character,也,audio/characters/char_u4e5f_v1.mp3
char_u4e5f_meaning,“也”是生活中常见的字宝宝，我们在故事和游戏里会遇到它。,audio/meanings/meaning_char_u4e5f_v1.mp3
char_u4e5f_word1,也人,audio/words/char_u4e5f_1_v1.mp3
char_u4e5f_word2,也家,audio/words/char_u4e5f_2_v1.mp3
char_u4e5f_sentence,我在故事里看见“也”。,audio/sentences/char_u4e5f_v1.mp3
char_u8fd8_character,还,audio/characters/char_u8fd8_v1.mp3
char_u8fd8_meaning,“还”是生活中常见的字宝宝，我们在故事和游戏里会遇到它。,audio/meanings/meaning_char_u8fd8_v1.mp3
char_u8fd8_word1,还人,audio/words/char_u8fd8_1_v1.mp3
char_u8fd8_word2,还家,audio/words/char_u8fd8_2_v1.mp3
char_u8fd8_sentence,我在故事里看见“还”。,audio/sentences/char_u8fd8_v1.mp3
char_u53c8_character,又,audio/characters/char_u53c8_v1.mp3
char_u53c8_meaning,“又”是生活中常见的字宝宝，我们在故事和游戏里会遇到它。,audio/meanings/meaning_char_u53c8_v1.mp3
char_u53c8_word1,又人,audio/words/char_u53c8_1_v1.mp3
char_u53c8_word2,又家,audio/words/char_u53c8_2_v1.mp3
char_u53c8_sentence,我在故事里看见“又”。,audio/sentences/char_u53c8_v1.mp3
char_u518d_character,再,audio/characters/char_u518d_v1.mp3
char_u518d_meaning,“再”是生活中常见的字宝宝，我们在故事和游戏里会遇到它。,audio/meanings/meaning_char_u518d_v1.mp3
char_u518d_word1,再人,audio/words/char_u518d_1_v1.mp3
char_u518d_word2,再家,audio/words/char_u518d_2_v1.mp3
char_u518d_sentence,我在故事里看见“再”。,audio/sentences/char_u518d_v1.mp3
char_u5f88_character,很,audio/characters/char_u5f88_v1.mp3
char_u5f88_meaning,“很”是生活中常见的字宝宝，我们在故事和游戏里会遇到它。,audio/meanings/meaning_char_u5f88_v1.mp3
char_u5f88_word1,很人,audio/words/char_u5f88_1_v1.mp3
char_u5f88_word2,很家,audio/words/char_u5f88_2_v1.mp3
char_u5f88_sentence,我在故事里看见“很”。,audio/sentences/char_u5f88_v1.mp3
char_u6700_character,最,audio/characters/char_u6700_v1.mp3
char_u6700_meaning,“最”是生活中常见的字宝宝，我们在故事和游戏里会遇到它。,audio/meanings/meaning_char_u6700_v1.mp3
char_u6700_word1,最人,audio/words/char_u6700_1_v1.mp3
char_u6700_word2,最家,audio/words/char_u6700_2_v1.mp3
char_u6700_sentence,我在故事里看见“最”。,audio/sentences/char_u6700_v1.mp3
char_u771f_character,真,audio/characters/char_u771f_v1.mp3
char_u771f_meaning,“真”是生活中常见的字宝宝，我们在故事和游戏里会遇到它。,audio/meanings/meaning_char_u771f_v1.mp3
char_u771f_word1,真人,audio/words/char_u771f_1_v1.mp3
char_u771f_word2,真家,audio/words/char_u771f_2_v1.mp3
char_u771f_sentence,我在故事里看见“真”。,audio/sentences/char_u771f_v1.mp3
char_u592a_character,太,audio/characters/char_u592a_v1.mp3
char_u592a_meaning,“太”是生活中常见的字宝宝，我们在故事和游戏里会遇到它。,audio/meanings/meaning_char_u592a_v1.mp3
char_u592a_word1,太人,audio/words/char_u592a_1_v1.mp3
char_u592a_word2,太家,audio/words/char_u592a_2_v1.mp3
char_u592a_sentence,我在故事里看见“太”。,audio/sentences/char_u592a_v1.mp3
char_u4eca_character,今,audio/characters/char_u4eca_v1.mp3
char_u4eca_meaning,“今”是生活中常见的字宝宝，我们在故事和游戏里会遇到它。,audio/meanings/meaning_char_u4eca_v1.mp3
char_u4eca_word1,今人,audio/words/char_u4eca_1_v1.mp3
char_u4eca_word2,今家,audio/words/char_u4eca_2_v1.mp3
char_u4eca_sentence,我在故事里看见“今”。,audio/sentences/char_u4eca_v1.mp3
char_u660e_character,明,audio/characters/char_u660e_v1.mp3
char_u660e_meaning,“明”是生活中常见的字宝宝，我们在故事和游戏里会遇到它。,audio/meanings/meaning_char_u660e_v1.mp3
char_u660e_word1,明人,audio/words/char_u660e_1_v1.mp3
char_u660e_word2,明家,audio/words/char_u660e_2_v1.mp3
char_u660e_sentence,我在故事里看见“明”。,audio/sentences/char_u660e_v1.mp3
char_u5e74_character,年,audio/characters/char_u5e74_v1.mp3
char_u5e74_meaning,“年”是生活中常见的字宝宝，我们在故事和游戏里会遇到它。,audio/meanings/meaning_char_u5e74_v1.mp3
char_u5e74_word1,年人,audio/words/char_u5e74_1_v1.mp3
char_u5e74_word2,年家,audio/words/char_u5e74_2_v1.mp3
char_u5e74_sentence,我在故事里看见“年”。,audio/sentences/char_u5e74_v1.mp3
char_u65f6_character,时,audio/characters/char_u65f6_v1.mp3
char_u65f6_meaning,“时”是生活中常见的字宝宝，我们在故事和游戏里会遇到它。,audio/meanings/meaning_char_u65f6_v1.mp3
char_u65f6_word1,时人,audio/words/char_u65f6_1_v1.mp3
char_u65f6_word2,时家,audio/words/char_u65f6_2_v1.mp3
char_u65f6_sentence,我在故事里看见“时”。,audio/sentences/char_u65f6_v1.mp3
char_u5206_character,分,audio/characters/char_u5206_v1.mp3
char_u5206_meaning,“分”是生活中常见的字宝宝，我们在故事和游戏里会遇到它。,audio/meanings/meaning_char_u5206_v1.mp3
char_u5206_word1,分人,audio/words/char_u5206_1_v1.mp3
