id,text,filename
char_u5929_v1,天,audio/characters/char_u5929_v1.mp3
meaning_u5929_v1,天是我们头顶上很高很大的天空。,audio/meanings/meaning_u5929_v1.mp3
word_u5929_1_v1,天上,audio/words/word_u5929_1_v1.mp3
word_u5929_2_v1,白天,audio/words/word_u5929_2_v1.mp3
word_u5929_3_v1,天空,audio/words/word_u5929_3_v1.mp3
sentence_u5929_v1,天上有一朵白云。,audio/sentences/sentence_u5929_v1.mp3
char_u4e91_v1,云,audio/characters/char_u4e91_v1.mp3
meaning_u4e91_v1,云是在天空中一团团白色或灰色的水汽。,audio/meanings/meaning_u4e91_v1.mp3
word_u4e91_1_v1,白云,audio/words/word_u4e91_1_v1.mp3
word_u4e91_2_v1,云朵,audio/words/word_u4e91_2_v1.mp3
word_u4e91_3_v1,乌云,audio/words/word_u4e91_3_v1.mp3
sentence_u4e91_v1,白云在天上慢慢飘。,audio/sentences/sentence_u4e91_v1.mp3
char_u96e8_v1,雨,audio/characters/char_u96e8_v1.mp3
meaning_u96e8_v1,雨是云里的小水滴落到地面。,audio/meanings/meaning_u96e8_v1.mp3
word_u96e8_1_v1,下雨,audio/words/word_u96e8_1_v1.mp3
word_u96e8_2_v1,雨水,audio/words/word_u96e8_2_v1.mp3
word_u96e8_3_v1,大雨,audio/words/word_u96e8_3_v1.mp3
sentence_u96e8_v1,外面下雨了，记得带伞。,audio/sentences/sentence_u96e8_v1.mp3
char_u98ce_v1,风,audio/characters/char_u98ce_v1.mp3
meaning_u98ce_v1,风是流动的空气，看不见，却能吹动树叶和风车。,audio/meanings/meaning_u98ce_v1.mp3
word_u98ce_1_v1,大风,audio/words/word_u98ce_1_v1.mp3
word_u98ce_2_v1,风车,audio/words/word_u98ce_2_v1.mp3
word_u98ce_3_v1,风声,audio/words/word_u98ce_3_v1.mp3
sentence_u98ce_v1,风吹动了小风车。,audio/sentences/sentence_u98ce_v1.mp3
char_u7530_v1,田,audio/characters/char_u7530_v1.mp3
meaning_u7530_v1,田是一块块用来种庄稼的土地。,audio/meanings/meaning_u7530_v1.mp3
word_u7530_1_v1,田地,audio/words/word_u7530_1_v1.mp3
word_u7530_2_v1,水田,audio/words/word_u7530_2_v1.mp3
word_u7530_3_v1,田野,audio/words/word_u7530_3_v1.mp3
sentence_u7530_v1,田里长着绿绿的小苗。,audio/sentences/sentence_u7530_v1.mp3
